order_number,predicted_courier,predicted_cost
281332581,a5aba5e5hohoc0c6hoho472bhohob3e9hohoc12d9ddf8cea,0.0025438934535223848
281323764,49713b62hohoe193hoho44cfhohoa351hoho50a94ab3306d,0.00409500687527641
280956256,f29532cbhoho8e69hoho41echoho8282hohoc64b365cb9de,0.04068809595724554
281331729,d4ad8acchoho06a2hoho4a72hoho9fd5hoho2efcf4772d8b,0.0022001434984247645
280968284,6c6cc1f7hohocc42hoho4bechoho99efhoho67aa298ba775,0.048058826964143576
281291269,8b148689hoho4d15hoho4945hohob6a3hoho7fc33a89d203,0.014899541816055312
281220669,6350a5f6hohoa7a6hoho412fhohoa392hoho39e68851b007,0.0010514854504293561
281279885,8fda7af5hoho83a2hoho4d65hoho8047hoho535d999eaaed,0.01601767622740986
281338024,a5aba5e5hohoc0c6hoho472bhohob3e9hohoc12d9ddf8cea,0.0025862483460270596
280952537,26b5c8a8hoho88a7hoho4064hohoaf55hoho33e0562c92d6,0.03144984247490525
281256885,5d8cc65bhohobb70hoho4001hohoadfbhoho3a96d44992d5,0.00600061425022955
280968244,a0b788dbhohof736hoho433chohoa081hoho2ed8d3aa4b04,0.002717816459449539
280968312,a0b788dbhohof736hoho433chohoa081hoho2ed8d3aa4b04,0.002717816459449539
281312929,9e525dfbhoho9399hoho4197hoho81d7hohodb823b9b78cc,0.0026926500960179818
280970131,457341dbhoho2428hoho4030hoho9dbdhohod5977eeadba5,0.004604055868919678
281347971,a2504acdhohob855hoho425chohob1a8hoho506008f67115,0.006532203612689149
280962735,8d428957hohof8eahoho4e35hoho8be3hohoc614adb3db23,0.0030615882263204824
281293178,2f21e0c7hoho79b8hoho4ecdhohoaacbhohoad8b3e6565c2,0.0071817259621565896
281306181,2c3a3abehoho863choho4685hohobcadhohoeba805ffdc14,0.0014261704121953953
281234534,f88c10e7hohod75ahoho4081hoho9453hoho977e0da67415,0.0038851165159944977
281321654,03b16317hohoc782hoho4b8ehoho87eahoho42fbbbbba2b2,0.06520195170875272
281346077,9e86eaf1hohobc0dhoho4ed9hohoad54hoho722072dee4ef,0.001501232010663842
281283720,951d6057hoho7367hoho4f09hohob30choho6659dd7038f3,0.0040752151863058346
281317628,0bce8090hoho318dhoho481chohob9e6hoho5c9eebf1c217,0.03395325935642745
281263814,6d50d7f9hohof9dchoho45abhoho899bhohob106cdeeb6b1,0.005269252378139342
281322795,0eaba0d0hohoc40dhoho400ahoho8babhoho817307be529f,0.0013677018605571202
280960925,62ebc9f1hohoc19bhoho458fhoho98d2hohoa09270316ed9,0.04882165943764619
280965459,f29532cbhoho8e69hoho41echoho8282hohoc64b365cb9de,0.07163919625168856
281231646,e35e48b4hoho52b8hoho42aehohobc5dhoho0cf2f7bc6d33,0.005687162583780997
281328714,442a18eahoho1fb3hoho4806hoho99f1hoho395af6f0cdb9,0.07962606178615535
281337422,120bb6bfhohobed2hoho4948hohobf4bhoho43b2ed7506f6,0.01897608604423444
281358721,1ea4602bhohoed79hoho4b74hohoa512hoho5d1087b5449c,0.036216979364674565
281317078,7bb720cbhoho6a8ehoho4822hoho966ehoho8133f364eba6,0.020005518479114602
281234305,7882aeb1hoho64c8hoho4d7fhoho859dhoho876ab9167f38,0.006092726679812256
281233176,222ca56choho91a5hoho42f0hohob41ahoho91bcfde1db3d,0.003095448123013844
281231096,4d64c1b3hohocb7fhoho40fbhohoa756hohoeab1ede6119d,0.010776107678761726
280965923,1d9d09eahoho7da9hoho48dbhohoacbdhoho7208764a9c38,0.0468105530358661
281348427,68e712efhoho445choho477ehoho927ahoho096a16c807df,0.04058864148008017
281260223,8dfe588chohoc2dbhoho4fachohoa4fchoho6a621844a0a2,0.005710939052078067
281273495,7dc97ef2hoho325ehoho4d31hohobffdhoho936b1dc782b5,0.0028319982830346305
280954857,933885fahohob7d5hoho482choho9337hoho8226cc455607,0.10270751029827994
281343281,955d9f41hohoe139hoho46e7hoho967choho4d2836d169d8,0.13900070530878464
281309775,ba899988hohob077hoho4e2ehoho9f67hohob33171f54a02,0.035251131085166934
280948396,d4ad8acchoho06a2hoho4a72hoho9fd5hoho2efcf4772d8b,0.24147290754371858
281354261,eaa7c9b2hoho2b2ehoho4c3dhohoaa9ahoho26998c553f96,0.0025943520543578588
281304428,e93cca6bhohoe1ddhoho4a62hoho90a3hoho7807f1800a4b,0.04554241191689594
280947919,f29532cbhoho8e69hoho41echoho8282hohoc64b365cb9de,0.37308743506897396
281316166,2da3c01bhohob503hoho4368hohob9eehohob90011402d9a,0.006559186698061702
281293556,009d9c8fhohoed12hoho4335hohoa259hoho1286dda31e7b,0.028950325364441296
280974012,d4ad8acchoho06a2hoho4a72hoho9fd5hoho2efcf4772d8b,0.0022001434984247645
280978376,6350a5f6hohoa7a6hoho412fhohoa392hoho39e68851b007,0.0010514854504293561
281265354,8c7211a6hoho0287hoho491bhoho82a7hohof7c26bed821d,0.0035293988790196986
281330945,8b148689hoho4d15hoho4945hohob6a3hoho7fc33a89d203,0.007125589825721178
281314012,6280a857hohob0e8hoho4279hoho80b4hoho8a4fd5a6195e,0.009112982947296974
280961575,e4b3d68bhoho6939hoho46a5hohoa1fahoho4b459de3b324,0.04425324803202977
280960712,fc9edfa3hohod035hoho4da1hoho926bhoho5828fd4af97e,0.0017680350542115652
281316737,e35e48b4hoho52b8hoho42aehohobc5dhoho0cf2f7bc6d33,0.0020818833197661876
281329880,bde7d3a7hohoc9bahoho4c31hohoaba5hoho981eba307733,0.024064220790460125
281345719,8c80c78dhohod5fehoho4462hoho8073hoho4aa8ebfcbdb7,0.0006156456342021166
281239880,4407d22bhoho005bhoho4ea1hohob2d9hoho4ad22c0dd75f,0.0038894984515805476
281303028,03b16317hohoc782hoho4b8ehoho87eahoho42fbbbbba2b2,0.005709265808658416
281302095,9d3761e7hoho8c67hoho47cbhoho8eabhoho484c523b9a74,0.0009259337635270605
280963739,927309b5hoho297bhoho45b1hoho96f5hoho67724681c98f,0.0838910179456277
281282012,951d6057hoho7367hoho4f09hohob30choho6659dd7038f3,0.0040752151863058346
280970384,a0b788dbhohof736hoho433chohoa081hoho2ed8d3aa4b04,0.002717816459449539
281349987,c0c45aa4hohodf1choho4d03hohoae48hohodb466818a01c,0.042309539693034345
281274507,9afdcbeehohod8dbhoho4d16hoho9113hoho920795783884,0.03646449066369679
280958250,66edac31hohocb6ahoho48cchohobdechohoc7ed5754c968,0.003785549369421562
281337576,42d88c47hoho3930hoho4ba6hoho96fchoho3fd5b7d453c1,0.031111766205322796
281336913,5e83d7bfhoho674choho41d7hoho8cf7hoho8d41661734b4,0.0020398193949008013
281342767,76494d51hoho469fhoho493choho9292hohoc7f64c6a4be1,0.00362398130034428
281299103,a3518071hoho3e8ahoho4cf3hohoa15dhohocb1e6f4ee847,0.0017748707827824506
281309525,e35e48b4hoho52b8hoho42aehohobc5dhoho0cf2f7bc6d33,0.015871714277187164
281286441,c37ff5f6hohoeacbhoho4ad0hohobfa0hoho4873dafe6cb6,0.0013730013629540865
280953218,e85acb41hoho4a1ehoho4390hoho804fhohobbfaf9697fa2,0.07349706822490824
281314801,6ce81369hoho416ehoho42eahohoaa0ahohofb502e93f775,0.0038755997650279685
281262922,28333a7chohob031hoho474ahohobe9fhohoe38ca5e2e937,0.005723225223411943
281245222,9b3c5bf0hoho74c4hoho49achoho8787hoho3392f38b642e,0.010776560172726097
281235316,34ff07cahohof9f3hoho48d2hohoaa5ahoho84942789a588,0.01169208203565538
281290658,e94fe990hoho63ffhoho4ca7hoho86d1hoho757c4e0917e7,0.05333938914783474
280978365,ee595dc5hoho320ehoho481chohoaa25hoho742e756cf6f0,0.0014799891878242465
281286953,49241029hoho0ef8hoho4971hohoac28hohobf976afda613,0.006208444598666482
281341617,06a7c65chohoec9choho4cd5hoho9958hoho7eda2a664ee0,0.02907749166493064
281313486,2ec57abbhoho55f4hoho4617hoho8f70hohof53103db975d,0.00463304776799975
280963552,f7bee5c8hohoe0cchoho4683hohoaf9ahohof8ba414067a9,0.08335178098168945
281340518,a6640211hoho1713hoho4faehohoa6fehohocd7963ee0643,0.0019001683058277475
281303507,ee595dc5hoho320ehoho481chohoaa25hoho742e756cf6f0,0.0014799891878242465
280964404,7f1b2753hohod373hoho4ac6hohoba20hoho6e9af8364489,0.06606695866118072
281337124,a2504acdhohob855hoho425chohob1a8hoho506008f67115,0.020654780233381003
280950401,f29532cbhoho8e69hoho41echoho8282hohoc64b365cb9de,0.10785941468944876
280957903,d3e1c27dhoho7f07hoho4d5bhoho818choho8675b7a5318e,0.004852192732131402
281320044,c6ec5751hoho47bchoho417ahohoaba7hoho1d8d8ee84878,0.004534127873375267
281306392,113b34e8hoho31c3hoho426ahoho939ahoho3e9a6300440c,0.0012421734093269639
281288274,88b87662hoho94a5hoho44b4hohoa8c3hoho4f97fccf9daf,0.004398874446202785
281314352,d689809dhohod6dfhoho46b1hohob56ehohod3c084374845,0.01740682718080452
281255285,d3e1c27dhoho7f07hoho4d5bhoho818choho8675b7a5318e,0.009908632349230445
281290180,88b87662hoho94a5hoho44b4hohoa8c3hoho4f97fccf9daf,0.004398874446202785
281325246,c0bb0d6dhoho8271hoho4811hoho8be2hoho51597f94ebb6,0.004452726166901744
281344359,010a7780hoho5af1hoho4796hoho80e9hoho0bdfd591f4b0,0.010815288546116762
281342584,12f7baebhohof7dahoho4ae9hohoacd7hohofac46f8d09dd,0.00425507495643246
281272752,ea5bc468hohob41ehoho42aehohoa9c0hohocbeca344fb6e,0.005931102471797045
281289030,59c7495ahoho21b2hoho4edchoho865choho342a939201c5,0.0006615772101205772
281316048,2451f0a6hohoed0ehoho437ehohob57fhoho0e791a8d5313,0.0054369219275767315
281309004,7eb32f30hoho1420hoho4014hoho9a2chohod9fc44c7e8bc,0.015407984642681203
280947092,a03c5da9hohod282hoho4daahohob881hoho653cd946c352,0.31672847107484453
280963213,26b5c8a8hoho88a7hoho4064hohoaf55hoho33e0562c92d6,0.03755331416256688
280957897,933885fahohob7d5hoho482choho9337hoho8226cc455607,0.12387332652067262
281230588,38a5046bhohoe00bhoho47fehohoa8d2hoho5a588bac2f1a,0.09255671094929918
280947169,a03c5da9hohod282hoho4daahohob881hoho653cd946c352,0.22274792166951737
281347496,49241029hoho0ef8hoho4971hohoac28hohobf976afda613,0.034048314276475165
281278620,009d9c8fhohoed12hoho4335hohoa259hoho1286dda31e7b,0.05022748535754354
281330073,f75e5b30hoho1b6ahoho48bfhoho978bhohobc301e5bf979,0.0022820589651965212
281318923,3661437choho6fdfhoho4164hohoa540hohoe8f28936bb36,0.0033417847828789873
280952350,39a26fa0hohof428hoho47a4hohoa320hoho12e3d831c23a,0.10452483921679195
281353493,a03c5da9hohod282hoho4daahohob881hoho653cd946c352,0.006249710624796654
280952386,39a26fa0hohof428hoho47a4hohoa320hoho12e3d831c23a,0.10168053332937406
281244199,8c80c78dhohod5fehoho4462hoho8073hoho4aa8ebfcbdb7,0.02487339208810065
280963971,e9c0f7bbhoho89a2hoho4f34hoho88b2hohob83f922f026f,0.0013556614287829607
280970861,3e91435dhoho6f91hoho4c0bhoho8feehoho19a15c249020,0.002106099556460598
281323481,475b4ce7hohobad7hoho46a1hoho8a3bhoho8fa180e3fcf2,0.004844494399702328
281317691,3e91435dhoho6f91hoho4c0bhoho8feehoho19a15c249020,0.0017257699715933
281297722,1be24d87hoho6a7ehoho4a20hohoab1bhohoa21b1c459261,0.014949858088956873
